cluster,mobile,non-mobile,not known,Gene,Human,Poultry,Dog,Stored water,Household soil,Human.pct,Poultry.pct,Dog.pct,Stored water.pct,Household soil.pct,V2,total
Cluster 16966,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,dfrA14,1
Cluster 16967,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,Kpne_KpnG,1
Cluster 16968,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 16969,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgA,1
Cluster 1697,0,1,5,,0,2,0,0,0,0,1.8018018018018,0,0,0,AcrF,6
Cluster 16970,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mphA,1
Cluster 16971,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 16972,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,cpxA,1
Cluster 16973,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 16974,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrY,1
Cluster 16975,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrS,1
Cluster 16976,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrA,1
Cluster 16977,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,APH(6)-Id,1
Cluster 16978,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 16979,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,baeS,1
Cluster 1698,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 16980,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 16981,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,EC-13,1
Cluster 16982,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 16983,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 16984,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,eptA,1
Cluster 16985,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,acrD,1
Cluster 16986,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,Ecol_acrA,1
Cluster 16987,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,ugd,1
Cluster 16988,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 16989,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 1699,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 16990,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 16991,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 16992,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrB,1
Cluster 16993,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrB,1
Cluster 16994,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,ugd,1
Cluster 16995,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 16996,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 16997,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,1
Cluster 16998,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
