cluster,mobile,non-mobile,not known,Gene,Human,Poultry,Dog,Stored water,Household soil,Human.pct,Poultry.pct,Dog.pct,Stored water.pct,Household soil.pct,V2,total
Cluster 0,0,117,109,,52,57,8,5,19,39.3939393939394,51.3513513513513,47.0588235294118,26.3157894736842,50,evgS,226
Cluster 1,0,5,30,,17,8,3,1,3,12.8787878787879,7.20720720720721,17.6470588235294,5.26315789473684,7.89473684210526,evgS,35
Cluster 10,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 100,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 1000,0,2,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,2
Cluster 10000,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Kpne_OmpK37,1
Cluster 10001,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtP,1
Cluster 10002,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,ADC-255,1
Cluster 10003,0,0,2,,2,0,0,0,0,1.51515151515152,0,0,0,0,evgS,2
Cluster 10004,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,TolC,1
Cluster 10005,0,1,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtG,2
Cluster 10006,0,1,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,Ecol_acrA,1
Cluster 10007,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtP,1
Cluster 10008,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,cpxA,1
Cluster 10009,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrY,1
Cluster 1001,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 10010,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10011,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10012,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10013,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrA,1
Cluster 10014,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_mdfA,1
Cluster 10015,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtO,1
Cluster 10016,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_mdfA,1
Cluster 10017,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrD,1
Cluster 10018,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,AcrF,1
Cluster 10019,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 1002,0,50,0,,9,17,2,4,11,6.81818181818182,15.3153153153153,11.7647058823529,21.0526315789474,28.9473684210526,mdtF,50
Cluster 10020,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Kpne_OmpK37,1
Cluster 10021,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 10022,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtO,1
Cluster 10023,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,EC-5,1
Cluster 10024,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10025,0,0,2,,2,0,0,0,0,1.51515151515152,0,0,0,0,lsaC,2
Cluster 10026,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,baeS,1
Cluster 10027,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
Cluster 10028,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10029,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 1003,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10030,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 10031,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtC,1
Cluster 10032,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtH,1
Cluster 10033,0,0,2,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,2
Cluster 10034,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,Eclo_acrA,1
Cluster 10035,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,Ecol_ampC_BLA,1
Cluster 10036,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 10037,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,1
Cluster 10038,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 10039,0,0,4,,1,1,0,0,2,0.757575757575758,0.900900900900901,0,0,5.26315789473684,AAC6_Ie_APH2_Ia,4
Cluster 1004,0,2,0,,1,0,0,1,0,0.757575757575758,0,0,5.26315789473684,0,acrD,2
Cluster 10040,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 10041,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_mdfA,1
Cluster 10042,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtH,1
Cluster 10043,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_mdfA,1
Cluster 10044,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_acrA,1
Cluster 10045,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,vanS_in_vanC_cl,1
Cluster 10046,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_acrA,1
Cluster 10047,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,EC-15,1
Cluster 10048,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,Ecol_acrA,1
Cluster 10049,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtB,1
Cluster 1005,0,1,1,,1,1,0,0,0,0.757575757575758,0.900900900900901,0,0,0,acrD,2
Cluster 10050,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,acrD,1
Cluster 10051,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10052,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 10053,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10054,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 10055,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtO,1
Cluster 10056,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,YojI,1
Cluster 10057,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 10058,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrY,1
Cluster 10059,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtG,1
Cluster 1006,0,1,2,,1,0,0,0,2,0.757575757575758,0,0,0,5.26315789473684,mdtF,3
Cluster 10060,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 10061,0,0,2,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,2
Cluster 10062,0,0,2,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,2
Cluster 10063,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 10064,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtG,1
Cluster 10065,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,baeS,1
Cluster 10066,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,adeS,1
Cluster 10067,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,ArnT,1
Cluster 10068,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,Ecol_mdfA,1
Cluster 10069,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtE,1
Cluster 1007,0,1,1,,1,1,0,0,0,0.757575757575758,0.900900900900901,0,0,0,acrD,2
Cluster 10070,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 10071,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 10072,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 10073,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtG,1
Cluster 10074,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,Ecol_mdfA,1
Cluster 10075,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtF,1
Cluster 10076,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,eptA,1
Cluster 10077,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10078,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrK,1
Cluster 10079,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtF,1
Cluster 1008,0,1,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,2
Cluster 10080,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 10081,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10082,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 10083,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10084,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtM,1
Cluster 10085,1,0,0,,0,0,0,1,0,0,0,0,5.26315789473684,0,OmpA,1
Cluster 10086,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 10087,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 10088,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrB,1
Cluster 10089,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrE,1
Cluster 1009,0,7,5,,7,2,0,0,0,5.3030303030303,1.8018018018018,0,0,0,mdtF,12
Cluster 10090,0,0,2,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,2
Cluster 10091,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrE,1
Cluster 10092,0,0,3,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,3
Cluster 10093,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10094,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10095,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtC,1
Cluster 10096,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,eptA,1
Cluster 10097,0,0,2,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtA,2
Cluster 10098,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10099,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,cpxA,1
Cluster 101,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 1010,0,7,7,,8,3,0,0,0,6.06060606060606,2.7027027027027,0,0,0,acrD,14
Cluster 10100,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,YojI,1
Cluster 10101,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrY,1
Cluster 10102,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 10103,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 10104,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,TolC,1
Cluster 10105,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10106,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrB,1
Cluster 10107,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,TolC,1
Cluster 10108,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,efrA,1
Cluster 10109,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtH,1
Cluster 1011,0,2,2,,2,0,0,1,1,1.51515151515152,0,0,5.26315789473684,2.63157894736842,mdtF,4
Cluster 10110,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,eptA,1
Cluster 10111,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrB,1
Cluster 10112,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,tet(A),1
Cluster 10113,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtA,1
Cluster 10114,0,1,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtH,1
Cluster 10115,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10116,0,0,2,,0,2,0,0,0,0,1.8018018018018,0,0,0,emrA,2
Cluster 10117,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,1
Cluster 10118,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 10119,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
Cluster 1012,0,8,3,,2,4,0,2,2,1.51515151515152,3.6036036036036,0,10.5263157894737,5.26315789473684,acrD,11
Cluster 10120,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrK,1
Cluster 10121,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtM,1
Cluster 10122,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrB,1
Cluster 10123,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrD,1
Cluster 10124,0,0,2,,0,1,0,0,1,0,0.900900900900901,0,0,2.63157894736842,mdtM,2
Cluster 10125,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,msbA,1
Cluster 10126,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,acrD,1
Cluster 10127,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,emrK,1
Cluster 10128,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtO,1
Cluster 10129,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,acrD,1
Cluster 1013,0,3,3,,5,0,0,1,0,3.78787878787879,0,0,5.26315789473684,0,mdtF,6
Cluster 10130,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10131,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 10132,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,1
Cluster 10133,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 10134,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrB,1
Cluster 10135,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10136,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtA,1
Cluster 10137,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,AcrF,1
Cluster 10138,0,0,2,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtC,2
Cluster 10139,0,1,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,ugd,1
Cluster 1014,0,2,0,,2,0,0,0,0,1.51515151515152,0,0,0,0,acrD,2
Cluster 10140,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtN,1
Cluster 10141,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,msbA,1
Cluster 10142,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
Cluster 10143,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10144,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 10145,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtN,1
Cluster 10146,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,eptA,1
Cluster 10147,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtF,1
Cluster 10148,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 10149,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtP,1
Cluster 1015,0,2,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,2
Cluster 10150,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,msbA,1
Cluster 10151,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,msbA,1
Cluster 10152,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrK,1
Cluster 10153,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 10154,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrA,1
Cluster 10155,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,msbA,1
Cluster 10156,0,1,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtO,1
Cluster 10157,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,AcrF,1
Cluster 10158,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrB,1
Cluster 10159,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 1016,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10160,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 10161,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10162,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 10163,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 10164,293,6,130,,45,59,4,10,20,34.0909090909091,53.1531531531532,23.5294117647059,52.6315789473684,52.6315789473684,APH(3'')-Ib,429
Cluster 10165,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,emrB,1
Cluster 10166,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,AcrF,1
Cluster 10167,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 10168,0,5,4,,3,1,0,0,5,2.27272727272727,0.900900900900901,0,0,13.1578947368421,PmrF,9
Cluster 10169,0,1,2,,2,1,0,0,0,1.51515151515152,0.900900900900901,0,0,0,PmrF,3
Cluster 1017,0,4,3,,3,2,0,1,0,2.27272727272727,1.8018018018018,0,5.26315789473684,0,mdtF,7
Cluster 10170,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 10171,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 10172,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10173,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 10174,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,TolC,1
Cluster 10175,0,1,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,acrD,1
Cluster 10176,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtB,1
Cluster 10177,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,EC-18,1
Cluster 10178,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtH,1
Cluster 10179,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,PmrF,1
Cluster 1018,0,5,1,,4,0,0,1,0,3.03030303030303,0,0,5.26315789473684,0,acrD,6
Cluster 10180,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 10181,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10182,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,Ecol_mdfA,1
Cluster 10183,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 10184,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrB,1
Cluster 10185,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,PmrF,1
Cluster 10186,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtA,1
Cluster 10187,0,1,0,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtF,1
Cluster 10188,0,0,3,,0,0,0,0,1,0,0,0,0,2.63157894736842,TolC,3
Cluster 10189,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtB,1
Cluster 1019,0,11,2,,3,5,0,0,3,2.27272727272727,4.5045045045045,0,0,7.89473684210526,mdtF,13
Cluster 10190,0,0,1,,0,0,0,0,1,0,0,0,0,2.63157894736842,mdtC,1
Cluster 10191,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtB,1
Cluster 10192,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 10193,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtB,1
Cluster 10194,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,eptA,1
Cluster 10195,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtC,1
Cluster 10196,1,0,0,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtM,1
Cluster 10197,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10198,0,0,3,,0,2,0,0,1,0,1.8018018018018,0,0,2.63157894736842,ugd,3
Cluster 10199,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 102,0,4,2,,2,1,0,1,1,1.51515151515152,0.900900900900901,0,5.26315789473684,2.63157894736842,evgS,6
Cluster 1020,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10200,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtB,1
Cluster 10201,0,0,2,,0,1,0,1,0,0,0.900900900900901,0,5.26315789473684,0,mdtH,2
Cluster 10202,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10203,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,acrB,1
Cluster 10204,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtH,1
Cluster 10205,1,0,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,TolC,1
Cluster 10206,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,eptA,1
Cluster 10207,0,0,2,,2,0,0,0,0,1.51515151515152,0,0,0,0,emrB,2
Cluster 10208,0,0,2,,1,0,0,0,0,0.757575757575758,0,0,0,0,emrK,2
Cluster 10209,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrB,1
Cluster 1021,0,1,2,,1,2,0,0,0,0.757575757575758,1.8018018018018,0,0,0,mdtF,3
Cluster 10210,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,acrD,1
Cluster 10211,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,TolC,1
Cluster 10212,0,0,2,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,2
Cluster 10213,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrA,1
Cluster 10214,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,1
Cluster 10215,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,TolC,1
Cluster 10216,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,cpxA,1
Cluster 10217,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtF,1
Cluster 10218,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,acrB,1
Cluster 10219,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtM,1
Cluster 1022,0,4,3,,2,3,0,0,0,1.51515151515152,2.7027027027027,0,0,0,acrD,7
Cluster 10220,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 10221,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,mdtF,1
Cluster 10222,0,0,1,,0,0,1,0,0,0,0,5.88235294117647,0,0,mdtE,1
Cluster 10223,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,evgS,1
Cluster 10224,0,0,2,,0,1,0,0,0,0,0.900900900900901,0,0,0,AcrF,2
Cluster 10225,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrY,1
Cluster 10226,0,1,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,emrY,1
Cluster 10227,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtC,1
Cluster 10228,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrD,1
Cluster 10229,1,0,0,,0,1,0,0,0,0,0.900900900900901,0,0,0,OmpA,1
Cluster 1023,0,2,1,,1,0,0,0,1,0.757575757575758,0,0,0,2.63157894736842,acrD,3
Cluster 10230,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,mdtO,1
Cluster 10231,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,evgS,1
Cluster 10232,0,0,1,,0,1,0,0,0,0,0.900900900900901,0,0,0,acrB,1
Cluster 10233,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,adeF,1
Cluster 10234,0,0,1,,0,0,0,1,0,0,0,0,5.26315789473684,0,mdtB,1
Cluster 10235,204,49,102,,83,69,14,8,27,62.8787878787879,62.1621621621622,82.3529411764706,42.1052631578947,71.0526315789474,PmrF,355
Cluster 10236,50,6,15,,14,27,4,5,9,10.6060606060606,24.3243243243243,23.5294117647059,26.3157894736842,23.6842105263158,PmrF,71
Cluster 10237,85,25,20,,24,48,8,5,19,18.1818181818182,43.2432432432432,47.0588235294118,26.3157894736842,50,PmrF,130
Cluster 10238,8,4,13,,15,2,1,1,0,11.3636363636364,1.8018018018018,5.88235294117647,5.26315789473684,0,PmrF,25
Cluster 10239,12,5,0,,6,4,2,0,3,4.54545454545455,3.6036036036036,11.7647058823529,0,7.89473684210526,PmrF,17
Cluster 1024,0,1,0,,1,0,0,0,0,0.757575757575758,0,0,0,0,acrD,1
Cluster 10240,5,0,0,,5,0,0,0,0,3.78787878787879,0,0,0,0,PmrF,5
Cluster 10241,3,0,1,,1,1,0,0,1,0.757575757575758,0.900900900900901,0,0,2.63157894736842,PmrF,4
Cluster 10242,0,1,1,,2,0,0,0,0,1.51515151515152,0,0,0,0,PmrF,2
Cluster 10243,15,1,2,,4,6,1,1,5,3.03030303030303,5.4054054054054,5.88235294117647,5.26315789473684,13.1578947368421,PmrF,18
Cluster 10244,2,0,0,,1,1,0,0,0,0.757575757575758,0.900900900900901,0,0,0,PmrF,2
Cluster 10245,4,3,3,,5,2,0,1,1,3.78787878787879,1.8018018018018,0,5.26315789473684,2.63157894736842,PmrF,10
Cluster 10246,18,2,3,,13,6,1,2,0,9.84848484848485,5.4054054054054,5.88235294117647,10.5263157894737,0,PmrF,23
Cluster 10247,7,2,4,,2,5,0,0,3,1.51515151515152,4.5045045045045,0,0,7.89473684210526,PmrF,13
Cluster 10248,0,0,1,,1,0,0,0,0,0.757575757575758,0,0,0,0,PmrF,1
