0	Esch_coli_PI7.fa.gz	47878	47819	93304	0.978	152.925	147.07	0.712	0.978	0.323	20.35	63.364	0.214	0.665
1	Esch_coli_MB56.fa.gz	45959	13143	46555	0.696	139.678	95.185	0.441	0.696	0.898	48.995	11.328	0.134	0.149
2	Esch_coli_EC-1639.fa.gz	49632	18639	37405	0.648	45.186	28.878	0.337	0.648	0.775	19.69	4.836	0.071	0.092
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1045_straingst	1559092108	58331686	67878	215.168	93.677									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_EC2.fa.gz	49867	49821	67878	0.995	258.11	250.946	0.876	0.995	0.095	15.512	82.057	0.082	0.863
1	Esch_coli_1283.fa.gz	45695	4850	18312	0.642	300.159	190.426	0.516	0.642	0.984	78.166	5.997	0.135	0.137
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1048_straingst	1752994449	66507023	61826	233.874	82.485									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_str_TO6.fa.gz	47167	47100	61826	0.894	296.694	260.366	0.864	0.894	0.895	82.485	71.254	0.552	0.617
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1049_straingst	1773533562	76069566	88860	165.721	83.032									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_NCTC9087.fa.gz	45206	45147	88860	0.967	281.086	269.266	0.833	0.967	0.939	38.184	69.176	0.707	0.753
1	Esch_coli_13P477T.fa.gz	49177	23665	45213	0.883	29.001	24.764	0.247	0.883	0.51	4.978	3.416	0.087	0.17
2	Esch_coli_SCU-104.fa.gz	49924	6313	24325	0.583	200.549	100.233	0.398	0.583	0.589	39.869	4.159	0.046	0.079
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1050_straingst	1361731516	66334990	116631	90.556	77.56									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_LD22-1.fa.gz	46889	46826	116631	0.978	162.059	156.706	0.703	0.978	0.619	10.024	54.518	0.407	0.658
1	Esch_coli_NCTC9041.fa.gz	46172	13133	70821	0.879	97.196	84.644	0.358	0.879	0.548	4.116	8.24	0.133	0.243
2	Esch_coli_BE2-5.fa.gz	45963	5384	59277	0.8	57.77	45.936	0.123	0.8	0.336	2.94	1.828	0.021	0.063
3	Esch_coli_2017_11_01CC.fa.gz	46241	4826	54968	0.707	44.878	31.12	0.087	0.707	0.666	8.774	1.124	0.02	0.031
4	Esch_coli_RM9088.fa.gz	50590	8952	51557	0.433	116.308	45.272	0.28	0.433	1.049	51.705	3.312	0.022	0.023
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1051_straingst	1198113121	52783677	89208	122.816	91.445									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_LD22-1.fa.gz	46889	46824	89208	0.965	184.959	176.275	0.763	0.965	0.676	21.29	69.73	0.463	0.684
1	Esch_coli_A29.fa.gz	46049	12506	44039	0.884	100.231	88.081	0.426	0.884	0.266	15.613	9.248	0.078	0.294
2	Esch_coli_Ecol_AZ147.fa.gz	46122	7218	32984	0.642	115.806	73.519	0.359	0.642	0.718	26.269	4.48	0.068	0.095
3	Esch_coli_f9610206-5e81-11e8-bf7f-3c4a9275d6c8.fa.gz	49059	9874	28349	0.548	38.967	19.516	0.22	0.548	0.461	28.274	1.759	0.017	0.036
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1053_straingst	1157381333	65051171	77699	107.883	72.426									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_H3_GCF_001900815.1.fa.gz	45610	45558	77699	0.95	156.219	147.48	0.807	0.95	0.851	6.512	58.427	0.589	0.692
1	Esch_coli_NCTC9087.fa.gz	45206	12143	34412	0.918	55.661	50.408	0.383	0.918	0.673	20.36	5.358	0.199	0.296
2	Esch_coli_EC15.fa.gz	48384	4771	23270	0.423	159.373	62.797	0.321	0.423	2.55	45.554	2.777	0.01	0.024
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1055_straingst	3143682208	118210917	104726	272.697	90.844									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_TUM20902.fa.gz	48117	48070	104726	1	379.359	373.766	0.638	1	0.421	18.248	57.985	0.268	0.638
1	Esch_coli_ECNB21-M121.fa.gz	46643	19727	56675	0.886	354.577	306.674	0.6	0.886	0.682	46.635	19.72	0.285	0.418
2	Esch_coli_Res13-Sevr-PER07-33.fa.gz	49217	10253	39191	0.759	201.419	150.784	0.38	0.759	0.858	25.961	4.989	0.143	0.166
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1057_straingst	1281731323	61745762	83570	138.851	90.532									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_UPEC-774U_190308.fa.gz	49071	49025	83570	0.977	181.672	175.603	0.75	0.977	0.669	37.136	67.879	0.468	0.699
1	Esch_coli_NC19.fa.gz	47396	22498	35680	0.867	103.482	88.47	0.695	0.867	0.926	53.396	15.744	0.419	0.453
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1058_straingst	1413243424	54091470	61772	201.263	87.971									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_NCTC9087.fa.gz	45206	45172	61772	0.947	243.1	227.638	0.837	0.947	0.954	17.677	73.621	0.679	0.712
1	Esch_coli_G6_7.fa.gz	50857	10040	18973	0.438	257.873	97.898	0.559	0.438	0.971	70.294	8.029	0.046	0.047
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1060_straingst	1586204498	62164601	62653	213.355	84.273									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_1190.fa.gz	48261	48237	62653	0.906	252.886	226.355	0.827	0.906	0.95	84.273	69.656	0.584	0.614
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1062_straingst	1554533695	62286748	97249	145.615	91.094									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_WP8-S18-ESBL-07.fa.gz	47916	47857	97249	0.987	194.451	188.566	0.649	0.987	0.437	26.657	59.083	0.272	0.624
1	Shig_flexneri_SWHIN_104.fa.gz	47104	20189	50015	0.868	133.554	114.425	0.471	0.868	0.852	24.109	15.063	0.263	0.308
2	Esch_coli_MDR_56.fa.gz	48219	15075	32482	0.565	101.194	54.63	0.327	0.565	0.913	40.329	5.546	0.054	0.059
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1064_straingst	1387795828	67671353	68190	160.47	78.848									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_H7.fa.gz	46920	46869	68190	0.963	220.073	208.962	0.908	0.963	0.679	52.76	71.574	0.55	0.811
1	Esch_coli_NCTC9087.fa.gz	45206	5780	23055	0.79	83.669	65.413	0.378	0.79	0.846	26.088	2.752	0.158	0.186
sample	totalkmers	distinct	pkmers	pkcov	pan%									
A1066_straingst	1599167302	68268433	119673	106.521	79.715									
i	strain	gkmers	ikmers	skmers	cov	kcov	gcov	acct	even	spec	rapct	old_rapct	wscore	score
0	Esch_coli_Ecol_AZ155.fa.gz	45677	45512	119673	0.993	247.814	243.193	0.879	0.993	0.875	61.868	70.046	0.754	0.861
